,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x1_type2,x1_type3,x1_type4,target
0,1486,200,1.2122273616378043,0.10156748462254939,13.0,78.0,888.0,0.0007541208736436822,16.0,1.0,6.0,8504.0,5.0,0.0008925816858891267,154.0,75.0,False,True,False,0
1,1350,375,1.016246713093097,0.15851851241710335,0.03250013473393665,31.0,2.0,5.252336936178992e-05,0.006581224759685256,1.106798124003035,0.00475601965680994,19.0,-0.010020146502426996,-0.0009122225806628137,44.0,652.0,True,False,False,0
2,2415,200,1.0625278123992703,0.12671686442208596,1.0,2.0,4.0,9.472420605827203e-05,-0.004293002734698348,0.5455949745537509,-0.031205339775198127,17.0,0.03138575273425204,0.0018834914092842325,72.6,412.0,True,False,False,1
3,7389,200,1.193802732574125,0.0659522961392156,0.04860505977262619,1.0,37.0,0.0010315573548205226,1.0,-1.5215408151188967,0.0515007793103166,44.0,0.07085262714269902,0.006675126810185006,133.3,7.0,False,True,False,0
4,3954,200,1.1413427963242206,0.0829351435811283,0.05365663014163147,5.749616810109728,71.0,0.000880046726582151,0.00896432444986317,0.42580408081175847,0.05427554233642695,217.0,0.05358589148715964,0.005453334777369534,133.1,128.0,False,True,False,0
5,2061,550,1.2548543575855093,0.17754298975926375,3.0,179.0,550.0,0.0021153636583224333,42.0,11.0,4.0,329.0,1.0609949401378458,0.0007914550029362033,69.7,1015.0,False,True,False,0
6,1416,616,1.0446567000796942,0.0636768603272273,0.05277889172975847,3.0,35.0,0.0008804128747217366,0.0015779165235585424,-0.12048341480294766,0.03813822332563177,26.0,0.07023767561599925,0.005015731777435306,148.5,24.0,False,True,False,0
7,1170,370,1.1428339226876634,0.04475110491597434,3.0,6.0,81.0,0.00028041126626043855,2.0,1.0,0.21774087860862323,7735.0,0.38486297793940594,0.00684261335676517,142.9,16.0,False,True,False,0
8,4880,200,1.1573722418790062,0.06916156524663464,4.0,125.0,166.0,0.0011926451679069583,5.0,-1.116170037212214,4.0,83.0,0.04947235159244201,0.00752504885742411,140.7,89.0,False,True,False,0
9,6748,200,1.210257880182429,0.1856865003015571,0.030521584015787084,2.0,12.0,-0.0008322434061527328,0.0012008864903236827,3.0,0.12151340799391619,5.0,-0.06356106679612594,0.011900027912124855,98.9,1020.0,False,False,False,0
10,1959,200,1.14398580077741,0.173260875712959,3.0,38.0,41.0,0.0002221258055115083,1.0,56.0,0.13883037352945848,25.0,0.019118545607284432,0.0062807439599605885,97.6,1171.0,False,False,False,0
11,1172,375,1.078154775759753,0.05244409507187697,0.047395406940950124,3.4805040242008545,31.0,0.000946243242264444,-0.002618173762442666,1.4763480871106367,0.015795007054236976,139.0,0.10627639095258701,0.0050775906789795044,173.8,4.0,False,True,False,0
12,3076,200,1.137545880906321,0.07294017480670334,0.0539807050224681,5.0,30.0,0.0008977283410525061,0.0036045966230631166,-0.9858247281990771,0.05462595082792632,23.0,0.04892264376366029,0.007211596726973468,133.0,28.0,False,True,False,0
13,3475,200,1.0874174209487195,0.1664497273125889,-0.056151331827550166,15.0,23.0,0.0019236041791994563,0.03531370528315847,9.007199475726338,0.00024993560384700686,23.0,-0.01606859670243921,-0.008081443388149978,114.0,1087.0,False,True,False,0
14,4969,200,1.158401783596398,0.06717087277299427,0.052770328702081315,6.0,115.0,0.0010740888387790193,1.0,0.21689937498285872,0.04533885915586211,56.0,0.10011930371234712,0.006133177333039086,152.3,12.0,False,True,False,0
15,1830,550,1.000891782381541,0.13447372288086257,0.06293956119088762,9.0,2.0,-2.2587266868878686e-05,-0.0007827563917146563,-0.5189620260644006,-0.00940586408546551,5.0,0.00930502040466763,0.000981962058512309,54.4,441.0,True,False,False,0
16,5694,200,1.1039794978471125,0.14667084649136086,1.0,181.0,40.0,-0.0006363227092116563,0.004738218005087447,0.3702358795771943,0.14259566640879484,66.0,0.004030238905386341,-8.597204690730109e-05,44.4,522.0,True,False,False,0
17,3793,1485,0.9307660984543864,0.0669447186658303,1.0,8.0,150.0,0.0006268585136572913,1.0,-1.4117452563496045,0.06854029903391279,64.0,0.08055306055808842,0.0017470509472641282,133.8,11.0,False,True,False,0
18,1000,200,1.103208688853998,0.06878782979190134,1.0,4.0,70.0,0.0011461972148949506,1.0,2.3183814338708544,0.0155331348774439,56.0,0.11733211170547975,0.004420405300677999,170.2,125.0,False,True,False,1
19,1539,200,1.0602314130519266,0.17962009277218272,-0.012143873956347306,367.0,24.0,-0.002298925782268313,0.016132027047348174,4.0,0.2709274656400851,8.0,-0.3186595811686743,0.007898787606128721,71.6,1186.0,False,False,True,0
20,2080,200,1.1295966162468274,0.06539517593837019,0.005425986613545319,2.0,6.0,0.0035781233434415416,0.0024421728796255593,197.0,-0.04004878073578766,10.0,0.1994395496996617,-0.004325288494761992,111.5,1003.0,False,False,False,0
21,2896,200,1.136854745932194,0.07251827903050057,2.0,10.0,134.0,0.0009752314102020598,2.0,0.3407763787690783,0.05222346131839117,139.0,0.12622702287302445,0.006178625830141726,153.5,48.0,False,True,False,0
22,6655,200,1.1764032290338777,0.06663220819006099,0.04088550181222672,1.0,25.0,0.001103367400185462,0.0033960422797463252,2.0,0.024730804475950663,52.0,0.05541810532542968,0.005690600688652125,136.7,44.0,False,True,False,0
23,2064,1264,0.8850613665504822,1.0,1.0,6.0,23.0,0.0059059906422249675,1.0,4.0,0.002242232532239541,17.0,0.07810904255705964,0.002217826096796216,147.6,71.0,False,True,False,0
24,1991,200,1.1171971757456034,0.07595055338241608,2.0,2.0,12.0,0.004245109224842558,1.0,214.0,-0.00775152569195825,17.0,0.2232653546120673,-0.009050321638268244,109.2,1250.0,False,False,False,1
25,2043,1243,0.9856692050056807,0.17838732272146274,1.0,40.0,21.0,-0.0009151702495420189,1.0,24.0,0.10282429207578048,13.0,-0.024622686713598796,0.006610162871664826,83.2,1063.0,False,False,False,0
26,1814,200,1.128425015538338,0.06674024817218083,0.061872699552395716,1.0,77.0,0.0010603470201235865,2.0,0.056072706063787336,0.03711892334970912,96.0,0.12813544830072487,0.00658659531306327,156.1,33.0,False,True,False,0
27,1706,200,1.0611949879908318,0.14122253056343936,0.0767983052087402,1.0,4.0,8.166469217529837e-06,0.0001516934073038101,-1.128331537307531,-0.004924658389398928,18.0,-0.0012564690873091422,0.003264567214847247,45.8,428.0,True,False,False,0
28,4488,200,1.155328308057814,0.22943810891365857,2.0,11.497632838139907,13.0,-0.0007754666931418797,0.014742261408514423,15.168896216493522,-0.23490444284607293,8.0,-0.054051591008317246,0.004163989015836478,99.3,1507.0,False,False,False,0
29,7671,571,1.13801695891884,0.0640317326600588,0.07779350952159803,1.9761576289220102,161.0,0.0010027970423724941,2.0,-0.20220821101247566,0.06692700062473023,950.0,0.1475310593328345,0.004301516207460665,145.9,17.0,False,True,False,0
30,7636,479,1.1366350299555552,0.06725786269458212,0.018196997752284005,3.0,72.0,0.001428622964657622,2.0,2.0,0.0813975175643975,63.0,0.11829560147862139,0.0011551016855761986,160.5,202.0,False,True,False,0
