unknown1,unknown2,unknown3,unknown4,unknown5,unknown6,unknown7,unknown8,unknown9,unknown10,unknown11,unknown12,unknown13,unknown14,unknown15,unknown16,unknown17,target
type3,3156,200,0,0,12,4,1261,0,13,3,3,5328,9,0,127,25,0
type4,2502,200,0,0,0,5,19,0,1,0,0,20,0,0,57.9,1004,0
type4,2222,318,0,0,0,6,26,0,0,0,0,33,0,0,36.3,17,0
type1,1354,554,0,0,10,8,66,0,2,1,0,17,1,0,97.9,932,0
type2,1345,545,0,0,1,58,91,0,1,0,0,43,0,0,60.4,251,0
type2,1715,200,0,0,0,188,36,0,1,0,0,18,0,0,42.7,659,0
type1,1360,200,0,0,2,5,31,0,0,14,0,10,0,0,100.1,1327,0
type3,1191,391,0,0,0,3,19,0,0,0,0,30,0,0,130.1,3,0
type3,1713,550,0,0,3,1,68,0,0,0,0,56,0,0,127.4,13,0
type3,4266,944,0,0,2,2,121,0,3,0,0,213,0,0,196.3,13,0
type3,4014,200,0,0,0,2,74,0,1,0,0,146,0,0,97.5,1194,0
type1,1350,550,0,0,0,0,16,0.1,0,3,0,10,0,0,140.4,1316,0
type3,1679,200,0,0,3,1,258,0,2,0,0,241,0,0,99.4,97,0
type3,5960,200,0,0,0,2,71,0,0,0,0,67,0,0,183.8,20,0
type3,4476,200,0,0,0,0,29,0,0,0,0,169,0,0,137.9,47,0
type3,1401,200,0,0,0,55,159,0,1,88,0,278,0,0,89,164,0
type3,3452,200,0,0,0,0,76,0,0,0,0,124,0,0,136.8,14,0
type2,2036,356,0,0,0,167,2,0,0,0,0,9,0,0,43.9,689,0
type3,3097,872,0,0,8,2,1288,0,9,1,4,1263,4,0,150.5,14,0
type1,3141,200,0,0,4,27,46,0,2,3,1,12,0,0,106.2,1119,1
type3,5531,200,0,2,391,84,10836,1.1,81,194,13,1392,6,4,132.9,243,0
type1,5809,375,0,0,1,1,23,0,0,36,0,16,0,0,79.3,1000,0
type3,3689,200,0,0,12,159,277,0,13,0,3,1111,1,1,175.8,60,0
type3,3460,375,0,0,2,0,122,0,0,0,1,871,0,0,128.8,14,0
type3,1700,725,0,0,1,0,105,0,1,4,0,123,0,0,127.8,60,0
type2,1182,200,0,0,1,202,52,0,1,1,0,5,0,0,43.9,673,0
type3,1352,550,1,0,36,15,2596,0,38,47,5,1441,0,0,139.5,191,0
type3,1182,382,0,0,13,7,1626,0,18,9,2,1093,0,0,57.5,1140,0
type1,1423,200,0,0,0,2,11,0,0,277,0,9,0,0,99.8,1479,0
type1,1976,375,0,0,0,0,12,0,0,2,0,5,0,0,98,1204,0
type1,3200,943,0,0,2,18,40,0,0,2,0,19,0,0,89.1,936,0
type2,2034,200,0,0,0,169,18,0,0,0,0,4,0,0,45.3,657,0
type1,1740,940,0,0,0,1,19,0.1,0,39,0,17,0,0,75,1074,0
type3,5762,200,0,0,6,11,1764,0,21,11,2,330,0,0,126.3,61,1
type3,1724,900,0,0,2,2,240,0,4,1,0,479,1,0,36.7,834,0
type3,3492,200,0,0,4,6,267,0,9,6,0,347,0,0,71.5,1457,0
type3,1737,200,0,0,3,3,226,0.2,3,0,0,86,0,0,130.4,13,0
type3,1414,200,0,0,1,7,75,0,0,1,0,25,0,0,160.6,59,0
type4,2077,375,0,0,1,83,11,0,0,1,0,18,0,0,65.1,1197,0
type1,2031,200,0,0,1,3,19,0,1,182,0,10,0,0,115.7,1043,0
type3,1739,200,0,0,10,462,490,0,10,0,17,1366,1,0,116.9,276,0
type2,1312,200,0,0,0,32,4,0,0,0,0,17,0,0,44.4,742,0
type2,2137,200,0,0,0,1,5,0,0,5,0,5,0,0,45.9,667,0
type1,7930,200,0,0,5,7,38,0,1,4,1,15,0,0,114.1,1313,0
type3,2423,200,0,0,16,6,1375,0,16,4,5,3576,10,0,144.2,61,0
type1,2544,548,0,0,1,10,24,0,2,35,0,35,0,0,111.1,1073,0
type2,2099,200,0,0,0,2,6,0,0,0,0,8,0,0,59.2,384,0
type1,7439,200,0,0,0,0,8,0,1,43,0,15,0,0,102.9,1112,0
type3,1401,601,0,0,4,8,357,0,6,10,0,427,0,0,69.1,1350,0
type1,2481,200,0,0,0,44,10,0,1,2,0,8,0,0,89.7,1385,0
type2,3060,200,0,0,0,472,46,0,1,0,0,8,0,0,43.4,648,0
type3,5204,200,0,0,0,0,140,0,1,0,0,411,0,0,155.2,18,0
type3,2057,550,0,0,2,15,88,0,2,0,1,485,0,0,137.6,20,0
type3,8024,200,0,0,0,6,31,0,0,0,0,174,0,0,110.4,1506,0
type4,1189,200,0,0,0,4,16,0,1,136,0,20,0,0,70.6,1317,0
type1,3423,200,0,0,0,0,9,0,0,0,0,4,0,0,92.8,1128,0
type3,4907,200,0,0,17,5,2222,0.2,16,2,11,2118,27,0,165.2,21,1
type3,1712,375,0,0,1,0,45,0,0,0,0,24,0,0,176.4,55,0
type1,1344,200,0,0,3,1,26,0,0,166,0,36,0,0,124.7,1039,0
type3,1676,550,0,0,3,8,163,0,3,5,0,127,0,0,70.1,1385,0
type1,1501,375,0,0,4,2,11,0,1,254,1,16,0,0,123.8,1415,0
type3,2033,407,0,0,4,0,184,0,4,0,0,3141,0,0,134.5,17,0
type1,1525,200,0,0,0,2,9,0,0,38,0,14,0,0,104.6,1025,0
type1,1339,200,0,0,2,12,27,0,2,3,0,7,0,0,94.2,1027,0
type2,1317,517,0,0,0,161,46,0,1,0,0,18,0,0,42.4,503,0
type1,3878,676,0,0,0,1,11,0,0,0,0,12,0,0,93.7,892,0
type1,2449,200,0,0,1,6,27,0,0,235,0,9,0,0,108.8,1358,0
type1,2267,200,0,2,72,3,46,0,1,145,1,46,0,0,133.5,915,0
type3,1865,200,0,0,3,0,90,0,1,0,0,120,0,0,123.9,9,0
type3,1354,200,0,0,5,2,294,0,3,1,0,412,0,0,138.9,19,1
type1,1703,200,0,0,1,6,36,0,1,2,1,12,0,0,106.5,918,0
type1,5575,200,0,0,2,29,180,0,2,0,1,142,0,0,115.2,1247,0
type1,1420,200,0,0,0,1,16,0,0,252,0,12,0,0,123.2,1401,0
type2,1717,200,0,0,0,10,6,0,0,0,0,7,0,0,44,659,0
type3,1387,587,0,0,7,0,269,0,2,1,0,152,2,0,127.6,123,0
type3,3102,200,0,0,3,121,213,0,6,3,0,331,0,0,60.6,1274,0
type3,2057,1257,0,0,5,35,291,0,6,0,1,3443,0,0,136.4,32,0
type1,2400,200,0,0,3,2,13,0,1,263,1,14,0,0,124,1422,0
type3,2463,1663,0,0,2,3,84,0,2,1,0,577,0,0,138.1,23,0
type3,8737,200,0,0,0,0,96,0,0,0,0,486,0,0,163.4,8,0
type3,4646,1012,0,0,0,1,14,0,0,0,0,22,0,0,130.1,15,0
type2,1701,901,0,0,0,238,63,0,1,0,0,20,0,0,43.6,634,0
type1,5074,200,0,0,0,0,10,0,0,0,0,10,0,0,95.5,1014,0
type3,1439,200,0,0,2,11,176,0,2,0,0,100,0,0,124.4,71,1
type2,2073,200,0,0,2,2,11,0,0,0,0,20,0,0,70.6,393,0
type4,1310,200,0,0,0,14,24,0,0,0,0,9,0,0,70,1004,0
type2,1389,200,0,0,0,7,8,0,0,0,0,23,0,0,56.7,503,0
type3,3775,200,0,0,3,13,132,0,2,0,0,72,0,0,146.5,21,0
type4,1478,200,0,0,0,1,10,0,0,231,0,17,0,0,84.2,1430,0
type1,2913,200,0,0,1,7,16,0,1,42,0,10,0,0,109.1,1199,0
type3,1956,200,0,0,3,9,245,0,6,8,5,282,0,0,56.9,1305,0
type2,1350,268,0,0,2,3,7,0,0,0,0,14,0,0,50.5,647,0
type3,1335,200,0,0,0,0,84,0,0,0,0,45,0,0,112.1,93,0
type2,1714,550,0,0,0,40,4,0,0,0,0,5,0,0,65.2,131,0
type1,3498,200,0,0,3,3,18,0,1,100,1,15,0,0,96.7,1518,0
type3,1771,200,0,0,0,0,87,0,0,0,0,89,0,0,145.2,9,0
type1,1900,200,0,0,0,3,11,0,0,41,0,14,0,0,110.6,1162,0
type3,2490,200,0,0,0,73,49,0,0,0,0,137,0,0,139.8,9,0
type3,2255,200,0,0,2,0,94,0,2,0,0,192,0,0,136.8,42,0
type1,4361,200,0,0,17,4,67,0,1,198,0,63,2,0,133.3,1214,0
type4,1915,200,0,0,0,0,13,0,0,0,0,9,0,0,68.6,1125,0
type1,6000,200,0,0,0,3,11,0,0,200,0,12,0,0,118,1279,0
type1,1359,559,0,0,1,6,33,0,2,48,0,17,0,0,104.6,1187,0
type3,1702,200,0,0,0,0,35,0,0,2,0,76,0,0,130.1,11,0
type3,4798,200,0,0,0,6,62,0,3,1,0,85,0,0,59.7,1116,0
type1,3156,200,0,0,4,26,36,0,2,2,1,9,0,0,100.9,1215,0
type4,4339,200,0,0,0,47,55,0,23,0,1,52,0,0,50.8,1293,0
type3,4967,200,2,0,2,1,220,0,2,0,0,9864,0,0,134.1,44,0
type3,2393,200,0,0,2,276,89,0,2,0,9,228,0,0,135.1,148,0
type2,1577,200,0,0,0,139,29,0,0,0,0,11,0,0,44,599,0
type2,1373,200,0,0,1,27,7,0,0,0,0,10,0,0,45.4,650,0
type3,9098,200,0,0,0,3,71,0,1,0,0,74,0,0,137.6,8,0
type3,2080,200,0,0,2,14,138,0,2,1,1,417,0,0,138.7,72,0
type3,1000,1149,0,0,0,0,39,0,0,0,0,566,0,0,166.3,12,0
type2,3166,200,0,0,0,52,2,0,0,0,0,3,0,0,58.1,232,0
type3,2038,200,0,0,8,1,570,0,6,0,3,884,3,0,127.7,36,0
type2,2506,200,0,0,0,19,3,0,0,0,0,12,0,0,45.2,683,0
type3,5379,200,0,0,5,13,195,0,6,0,1,758,0,0,141.5,29,1
type2,5179,200,0,0,0,5,15,0,0,5,0,18,0,0,53.4,590,0
type1,1714,200,0,0,0,1,6,0,0,38,0,16,0,0,104.5,887,0
type3,6730,200,0,0,1,4,13,0,0,1,0,12,0,0,167.8,21,0
type1,2865,200,0,0,2,1,10,0,0,245,0,13,0,0,113.9,1322,0
type3,1723,550,0,0,3,0,38,0,0,2,0,56,0,0,172.7,27,0
type3,2890,200,0,0,0,0,35,0,0,0,0,33,0,0,127.2,26,0
type3,4469,200,0,0,3,0,145,0,1,2,0,2417,0,0,165.2,65,1
type3,7652,200,0,0,0,4,23,0,0,0,0,259,0,0,111,1229,0
type3,4014,200,0,0,0,0,7,0,0,0,0,15,0,0,124.5,940,0
type2,2369,200,0,0,1,4,8,0,0,3,0,13,0,0,72.3,269,0
type1,2929,200,0,0,2,26,17,0,1,5,0,13,0,0,87.5,1186,0
type3,2437,200,0,0,0,0,39,0,0,7,0,101,0,0,132.6,50,0
type1,3845,200,0,0,1,0,10,0,0,251,0,11,0,0,121.9,1476,1
type3,1919,200,0,0,0,1,73,0,0,0,0,98,0,0,131.8,134,0
type3,9986,200,0,0,1,41,27,0,4,0,1,38,0,0,186.6,35,0
type2,4973,200,0,0,0,1,2,0,0,0,0,5,0,0,47.5,490,1
type4,2403,529,0,0,0,0,11,0,0,2,0,12,0,0,70,1128,0
type1,6678,200,0,0,2,9,31,0,0,0,0,8,0,0,102.8,1058,0
type1,3286,200,0,0,1,6,45,0,0,1,0,7,0,0,95.2,1246,0
type2,2243,200,0,0,0,3,16,0,0,0,0,13,0,0,65,396,0
type3,3166,200,0,0,5,10,367,0,6,10,1,193,0,0,70.6,1364,0
type3,2403,900,0,0,2,0,150,0,2,0,0,200,0,0,122.2,172,0
type3,2441,200,0,0,4,3,979,0,8,8,0,114,0,0,129.9,218,0
type1,3529,200,0,0,2,6,39,0,1,6,1,18,0,0,89.7,1181,1
type3,11192,200,0,0,5,26,319,0,6,0,1,1719,1,0,155.4,44,0
type3,1043,200,2,0,0,81,44,0,0,0,4,37,0,0,141.5,60,0
type3,3519,200,0,0,3,2,588,0,4,0,2,752,0,0,154.9,17,0
type3,2035,200,0,0,3,10,166,0,2,3,1,359,1,0,150.4,36,1
type3,3135,407,0,0,0,9,29,0,0,0,0,68,0,0,110.8,1326,0
type1,4581,200,0,0,1,2,24,0,1,41,0,11,0,0,99.9,1057,1
type3,7042,200,0,0,8,19,274,0,5,1,2,253,1,0,146.6,37,1
type3,2054,200,0,0,0,0,31,0,0,0,0,46,0,0,133.2,13,0
type3,1330,200,0,0,3,3,157,0,2,0,1,883,0,0,109.4,148,0
type1,1794,200,0,0,0,2,21,0,0,226,0,7,0,0,88.7,1396,0
type2,1344,200,0,0,2,1,12,0,0,0,0,41,0,0,43.6,242,0
type3,1672,200,0,0,0,7,98,0,0,2,0,6,0,0,129.9,57,0
type3,9383,200,0,0,1,0,84,0,0,0,0,339,0,0,131.7,32,0
type3,1342,542,0,0,3,10,197,0,7,10,6,231,0,0,70.2,1329,0
type3,1371,200,0,0,3,0,98,0,1,4,0,111,0,0,148.7,101,0
type1,3599,200,0,0,1,4,29,0,0,1,0,13,0,0,77.5,1166,0
type1,1217,417,0,0,1,0,9,0,0,162,0,2,0,0,127.7,976,0
type3,1387,200,0,0,5,8,280,0,12,6,0,303,0,0,71.2,1339,0
type3,1000,200,0,0,0,0,13,0,0,0,0,51,0,0,137.3,60,0
type2,1752,200,0,0,0,2,6,0,0,0,0,75,3,0,68.1,20,0
type4,1226,200,0,0,0,36,49,0,18,0,0,19,0,0,57.4,1334,0
type3,2159,200,0,0,3,40,158,0,2,11,1,173,1,0,144.4,63,0
type3,3495,540,0,0,0,0,79,0,1,10,0,47,0,0,141.7,23,0
type3,1368,200,0,0,8,16,157,0,7,0,0,969,0,0,141,29,0
type1,3135,200,0,0,0,4,11,0,0,2,0,7,0,0,89.3,1108,0
type3,2406,375,1,0,4,1,615,0,4,1,1,122,0,0,143.9,10,0
type3,1911,200,0,0,3,2,369,0,6,0,0,1572,0,0,133.3,41,0
type1,2071,200,0,0,3,2,28,0,0,233,0,20,0,0,129,1280,0
type3,1562,200,0,0,3,17,129,0,1,4,0,87,0,0,131.1,123,0
type3,1183,383,0,0,1,0,113,0,0,0,0,401,0,0,151.2,55,0
type3,1725,550,0,0,0,0,39,0,0,0,0,65,0,0,123.8,9,0
type3,1460,375,0,0,3,6,144,0,4,3,0,108,0,0,46.2,1270,0
type3,1000,200,0,0,2,2,376,0,16,1,1,279,0,0,126.7,83,0
type3,6222,5422,0,0,1,5,28,0,2,2,0,38,0,0,69.3,1342,0
type3,3122,200,0,0,3,84,831,0,44,17,4,4213,0,0,68.6,1287,0
type1,3448,200,0,0,0,0,11,0,0,9,0,5,0,0,107.6,1055,0
type1,3526,200,0,0,2,27,33,0,2,15,1,10,0,0,87.2,1106,0
type3,7978,200,0,0,1,25,62,0,1,0,2,139,0,0,147.4,25,0
type2,2077,550,0,0,0,147,3,0,0,0,0,6,0,0,43.9,706,0
type3,1674,874,0,0,1,1,221,0,7,0,0,90,0,0,172,50,0
type2,7797,697,0,0,0,6,7,0,0,0,0,6,0,0,46.8,596,0
type2,1719,200,0,0,1,6,28,0,0,0,0,5,0,0,46.2,350,0
type3,2437,200,0,0,0,0,47,0,0,2,0,182,0,0,134.7,13,1
type4,2403,200,0,0,0,2,15,0,0,8,0,19,0,0,69.7,1168,0
type1,6978,200,0,0,2,3,35,0,1,87,1,14,0,0,109.1,1308,0
type3,7702,200,0,0,1,5,27,0,0,1,0,76,0,0,126.8,235,0
type3,1445,645,0,0,3,1,304,0,3,0,0,4602,4,0,127.9,68,0
type2,2339,200,0,0,3,4,4,0,0,0,0,17,0,0,54.3,542,0
type1,2507,200,0,0,0,2,16,0,0,0,0,5,0,0,93.7,1139,0
type3,1000,200,0,0,17,29,857,0,14,1,4,2644,0,0,180.8,43,0
type3,2402,550,0,0,2,12,299,0,3,6,1,74,0,0,116.6,239,0
type3,1722,200,0,0,1,14,58,0,1,1,0,95,0,0,143.8,35,0
type3,5935,200,0,0,0,13,52,0,2,0,0,91,0,0,57.4,1355,0
type1,3096,375,0,0,0,0,5,0,0,41,0,19,0,0,105.6,1089,1
type3,1361,561,0,0,1,7,37,0,0,0,0,108,0,0,184,27,0
type3,5550,200,0,0,1,1,160,0,3,3,0,77,0,0,138.8,31,0
type3,8041,200,0,0,2,1,233,0,2,0,1,614,2,0,162.1,60,0
type3,2771,200,0,0,6,14,423,0,8,18,1,199,0,0,71.2,1389,0
type3,1219,419,0,0,0,8,21,0,0,14,0,22,0,0,140.9,87,0
type3,2374,200,0,0,6,0,369,0,4,2,1,224,0,0,136.3,16,0
type3,3864,200,0,0,6,1,376,0,4,0,0,768,0,0,134.3,19,0
type3,2195,200,0,0,0,7,35,0,0,0,0,89,0,0,116.8,823,0
type3,1353,200,0,0,2,9,97,0,1,0,0,258,0,0,124.6,44,0
type2,1577,381,0,0,0,24,2,0,0,0,0,30,0,0,44.9,502,0
type4,1352,552,0,0,0,393,10,0,0,2,0,9,0,0,71.1,1028,0
type3,3974,805,0,0,2,0,132,0,0,0,0,314,0,0,130.8,22,0
type3,1760,200,0,0,3,11,647,0,4,16,1,221,0,0,152.1,32,0
type1,3265,200,0,0,0,2,25,0,0,0,0,10,0,0,108.6,1104,0
type2,1739,200,0,0,0,6,2,0,0,0,0,9,0,0,44.9,582,1
type3,6376,200,0,0,0,39,5,0,0,1,0,23,0,0,94.1,331,0
type1,8393,7200,0,0,2,20,100,0,3,74,0,110,1,0,87.4,941,0
type3,2187,200,0,0,0,2,57,0,0,0,0,645,0,0,132.7,7,0
type3,1459,659,0,0,6,12,730,0,8,9,1,494,0,0,68.3,1446,0
type1,2085,200,0,0,0,0,4,0,0,2,0,8,0,0,95.9,975,0
type3,2381,200,0,0,2,0,46,0,0,1,0,117,0,1,144.4,23,0
type4,1387,587,0,0,0,123,15,0,0,2,0,14,0,0,57.4,980,1
type1,3466,200,0,0,2,786,245,0,13,0,0,13,0,0,121.5,37,1
type3,2422,200,0,0,4,0,89,0,1,0,0,178,3,0,154.5,31,0
type1,7531,200,0,0,14,126,74,0,1,0,1,17,0,0,85.3,991,0
type4,1343,200,0,0,0,0,7,0,0,41,0,7,0,0,70.6,1077,0
type2,3457,200,0,0,0,5,0,0,0,0,0,15,0,0,45.5,711,0
type3,1733,933,1,0,7,37,361,0,6,2,2,794,1,0,145.7,34,0
type4,5965,620,0,0,0,302,15,0,0,0,0,5,0,0,72.6,1114,0
type1,1395,409,0,0,0,2,18,0,0,42,0,4,0,0,102.2,1156,0
type3,1332,200,0,0,297,5,1890,0.1,16,2,4,1606,21,1,125.7,19,0
type1,3997,200,0,0,0,1,10,0,0,28,0,4,0,0,100.4,786,0
type3,3109,200,0,0,0,0,35,0,0,1,0,45,0,0,113.8,1708,0
type3,1357,557,0,0,1,1,273,0,10,1,1,81,0,0,132.1,108,0
type3,8672,522,0,0,1,76,67,0,2,0,3,19,0,0,143.2,69,0
type2,2443,200,0,0,0,85,213,0,2,1,0,49,0,0,50.3,228,0
type3,1690,550,0,0,22,16,3061,0,46,2,4,19045,30,0,131,82,0
type3,3107,200,0,0,4,2,287,0,5,7,0,124,0,0,135.8,100,0
type3,2456,550,0,2,2,14,131,0,4,0,1,9816,1,0,190.9,22,0
type4,4637,200,0,0,0,0,11,0,0,2,0,12,0,0,70.4,1015,0
type3,1357,200,0,0,1,1,126,0,3,1,1,344,0,0,154.7,20,0
type4,4525,550,0,0,0,5,26,0,0,0,0,25,0,0,53.7,1052,0
type3,4878,200,0,0,0,2,35,0,0,0,0,66,0,0,169.9,13,1
type3,2106,200,0,0,0,4,14,0,0,0,0,152,0,0,129.6,38,1
type3,1658,200,0,0,1,5,51,0,1,1,0,241,0,0,155.6,13,0
type1,1000,200,0,0,1,2,21,0,0,51,0,19,0,0,99.3,1216,0
type3,1399,599,0,0,5,11,278,0,3,9,1,507,0,0,121.1,76,0
type1,1691,200,0,0,3,1,24,0,0,47,0,26,0,0,108,1081,0
type2,1308,200,0,0,1,2,16,0,0,0,0,17,2,0,66.2,569,0
type2,1343,200,0,0,0,8,5,0,0,0,0,12,0,0,44.4,697,0
type1,2159,200,0,0,2,3,17,0,1,37,0,10,0,0,104.7,1027,1
type3,3499,200,0,0,3,11,198,0,3,0,0,61,1,0,144.8,19,0
type3,3548,900,0,0,13,0,215,0,2,1,1,825,0,0,107.3,242,0
type3,1175,375,0,0,0,1,27,0,0,0,0,56,0,0,150,10,0
type3,6966,200,0,0,0,8,28,0,1,0,0,19,0,0,154.9,14,0
type3,1707,200,0,0,0,34,129,0,3,1,0,371,0,0,60.3,1128,0
type3,2134,200,0,0,0,0,22,0,2,0,0,38,0,0,133.6,155,1
type3,5028,200,0,0,2,9,190,0,2,7,0,133,0,0,177.5,107,0
type2,3837,1600,0,0,3,10,21,0,0,0,0,5,0,0,57.6,207,0
type4,3154,613,0,0,0,3,22,0,2,106,0,19,0,0,73.4,1252,0
type3,5482,200,0,0,1,0,97,0,2,0,0,376,0,0,174.1,108,0
type3,3831,200,0,0,0,8,88,0,1,0,0,45,0,0,127.5,8,0
type3,4719,200,0,0,10,141,1439,0,41,9,1,1308,0,0,49.3,1106,0
type2,1544,375,0,0,1,46,260,0,2,0,0,71,0,0,44.4,173,0
type2,1506,380,0,0,0,3,3,0,0,0,0,9,0,0,39,403,0
type3,6660,200,0,0,1,1,679,0,5,3,0,147,0,0,141.2,2,0
type3,3475,1275,0,1,2,6,177,0.1,1,1,1,83,1,1,143.7,29,0
type1,3106,200,0,0,0,10,35,0,0,254,0,13,0,0,111.2,1364,0
type4,1743,550,0,0,1,577,39,0,1,0,0,28,0,0,64,1235,0
type3,2031,200,0,0,5,11,499,0,8,19,0,252,0,0,70.8,1487,0
type1,3194,200,0,0,0,0,3,0,0,103,0,10,0,0,105.7,1235,0
type1,2225,375,0,0,2,2,18,0,0,0,0,5,0,0,92,1213,0
type3,1361,200,0,0,5,0,161,0,3,0,0,519,0,0,131.8,13,0
type3,6574,200,0,0,5,0,248,0,5,0,0,8341,0,0,131.4,16,0
type3,3795,343,0,0,0,33,21,0,0,0,0,78,0,0,110.3,1293,0
type4,1000,613,0,0,0,1,15,0,0,198,0,27,0,0,83.7,1162,0
type1,2155,200,0,0,1,1,8,0,0,167,0,6,0,0,119.2,1025,0
type3,3433,200,0,0,1,5,159,0,2,3,0,115,0,0,134.6,126,0
type3,1384,375,0,0,10,31,637,0,10,2,3,2476,6,0,134.3,46,0
type2,2409,200,0,0,0,40,0,0,0,0,0,10,0,0,66.4,130,0
type2,3220,499,0,0,0,13,13,0,0,0,0,21,0,0,48.1,540,0
type4,2010,200,1,0,0,3,17,0,0,4,0,22,0,0,71.4,1024,0
type3,7344,375,0,0,0,3,60,0,0,0,0,69,0,0,138,59,0
type4,2152,200,0,0,0,146,14,0,6,139,0,21,0,0,66.7,984,0
type4,1375,575,0,0,0,1,11,0,0,5,0,6,0,0,70.4,1148,0
type1,2339,200,0,0,2,1,15,0,0,1,0,12,0,0,96.7,1413,0
type2,2181,200,0,0,0,20,1,0,0,0,0,9,0,0,45.3,655,1
type1,2008,200,1,0,4,4,31,0,1,267,1,16,0,0,149.1,1674,0
type3,6397,200,0,0,4,2,130,0,3,0,0,231,0,0,195.4,33,0
type1,4537,200,0,0,0,2,8,0,0,1,0,14,0,0,102.3,1283,0
type1,8987,200,0,0,5,49,65,0,2,4,0,12,0,0,100.4,1305,1
type4,1000,200,0,0,0,3,29,0,1,28,0,19,0,0,67.3,1072,0
type1,1680,380,0,0,0,1,3,0,0,34,0,5,0,0,103.8,1014,0
type1,1800,1000,0,0,1,2,12,0,0,100,0,6,0,0,99.3,1482,0
type3,2035,200,0,0,4,0,361,0,24,9,1,1430,0,0,151.4,31,0
type3,1714,200,0,0,0,0,46,0,0,0,0,44,0,0,162,18,0
type3,3960,200,0,0,12,37,1051,0,9,2,2,741,0,0,144.4,59,0
type1,7290,200,0,0,2,22,32,0,1,1,0,17,0,0,102,1198,0
type3,2794,200,0,0,1,1,91,0,0,1,0,67,0,0,129,75,0
type1,3187,200,0,0,4,48,47,0,1,48,0,4,0,0,105.1,1218,0
type3,6448,200,0,0,5,115,229,0,6,2,4,196,0,0,141.8,94,0
type3,5288,200,0,0,3,120,224,0,3,0,5,70,0,0,124.2,79,0
type3,2190,200,0,0,0,0,39,0,0,0,0,58,0,0,139.9,30,0
type1,3156,200,0,0,0,1,25,0,0,37,0,17,0,0,89.5,946,0
type4,1546,491,0,0,0,0,11,0,0,6,0,9,0,0,70.1,1063,0
type1,1690,200,0,0,3,2,16,0,0,235,0,10,0,0,108.3,1450,0
type1,4515,200,0,0,1,2,38,0,1,72,0,11,0,0,97.7,892,0
type3,3496,200,0,0,0,1,19,0,0,0,0,14,0,0,147.7,7,0
type3,1234,434,0,0,8,5,1877,0,12,15,2,476,1,0,155.1,12,0
type2,1360,560,0,0,0,25,5,0,0,0,0,15,0,0,45.3,738,0
type3,1357,200,0,0,5,1,285,0,5,1,0,1896,2,0,137.5,21,0
type3,1452,200,0,0,0,3,47,0,0,2,0,31,0,0,139.7,7,0
type1,1182,382,0,0,2,2,24,0,0,163,0,14,0,0,114.5,1045,0
type3,5585,986,0,0,0,0,154,0,3,6,0,110,0,0,176.1,86,0
type1,4497,200,0,0,2,8,33,0,0,169,0,7,0,0,114.7,1268,1
type2,2396,200,0,0,0,12,4,0,0,0,0,7,0,0,44.4,645,0
type3,1404,200,0,0,10,84,813,0,11,1,5,4207,20,0,131,51,1
type1,5514,200,0,0,11,3,31,0,1,6,0,14,0,0,115,985,0
type2,3092,2292,0,0,0,5,2,0,0,0,0,7,0,0,44.6,638,0
type3,4192,200,0,0,1,0,91,0,0,0,0,344,0,0,135.9,13,0
type3,1732,200,0,0,0,14,43,0,0,0,0,50,0,0,63.8,1044,0
type1,12421,550,0,1,2,5,18,0,1,221,0,3,0,0,115.6,1376,1
type2,2470,200,0,0,3,12,26,0,0,0,0,35,0,0,59.5,418,0
type3,1730,200,1,0,4,2,153,0,3,4,1,257,1,0,144.1,46,0
type2,2412,200,0,0,1,25,47,0,1,0,0,38,0,0,68.4,307,0
type3,3900,200,0,0,0,0,125,0,3,0,0,8,0,0,129,44,1
type2,4497,200,0,0,0,873,41,0,1,31,0,24,0,0,66.4,1148,1
type4,2971,200,0,0,0,615,24,0,0,142,0,14,0,0,76.3,1145,0
type1,4274,622,0,0,2,24,76,0,1,152,0,8,0,0,111.5,1131,0
type1,2769,550,0,0,5,146,62,0,1,174,0,21,0,0,126.7,1457,0
type3,1172,372,0,0,3,0,229,0,3,0,0,206,1,0,133.1,39,0
type4,1357,200,0,0,0,3,38,0,0,24,0,20,0,0,62.4,1128,0
type3,4278,200,0,0,2,0,100,0,1,0,0,506,0,0,146.5,180,0
type3,2742,200,0,0,3,0,301,0,2,1,0,708,2,0,139.5,38,0
type3,4032,200,0,0,4,8,238,0,3,0,0,863,0,0,134.6,21,0
type4,1369,569,0,0,0,2,14,0,0,0,0,5,0,0,71.4,1108,0
type3,1537,375,0,0,0,0,77,0,0,0,0,264,0,0,131.2,40,0
type1,2356,200,0,0,0,0,16,0,0,249,0,7,0,0,123.8,1291,0
type3,5894,200,0,0,59,51,2957,0.6,111,0,11,12935,20,0,289.4,128,0
type3,1917,200,0,0,2,65,74,0,2,0,1,55,1,0,179,38,0
type3,3454,200,0,0,0,0,33,0,0,0,0,50,0,0,134.1,22,0
type3,2236,200,0,0,0,4,84,0,0,0,0,34,0,0,146.2,32,0
type1,1716,550,1,0,1,2,23,0,1,2,0,14,0,0,99.4,856,0
type3,2351,200,0,0,4,8,252,0,10,6,0,258,0,0,70.8,1314,0
type3,1172,372,1,0,4,31,115,0,5,0,1,261,0,0,326.4,39,0
type2,1184,384,0,0,2,91,300,0,2,0,0,62,0,0,50,392,0
type4,3070,200,0,0,0,4,33,0,1,37,0,502,0,0,69.3,1031,0
type1,2226,200,0,0,0,1,9,0,0,0,0,16,0,0,99.7,1181,0
