unknown1,unknown2,unknown3,unknown4,unknown5,unknown6,unknown7,unknown8,unknown9,unknown10,unknown11,unknown12,unknown13,unknown14,unknown15,unknown16,unknown17,target
type1,1662,862,0,0,1,8,42,0,2,176,0,13,0,0,125.9,1055,1
type2,3803,200,0,0,0,167,22,0,0,2,0,38,0,0,44.6,515,0
type1,1203,403,0,0,0,0,5,0,0,2,0,12,0,0,94.9,1267,0
type4,9097,200,0,0,1,1,19,0,1,2,0,21,1,0,81.9,1071,0
type2,5606,200,0,0,1,81,15,0,0,1,0,39,0,0,53.1,550,0
type3,4946,200,0,0,0,1,85,0,2,1,0,109,0,0,124.4,109,0
type3,2118,200,0,0,3,14,192,0,2,0,0,1911,0,0,123.1,16,0
type3,4856,200,0,0,0,25,85,0,2,0,0,63,0,0,139.5,30,0
type3,1666,866,0,0,1,0,64,0,1,0,0,76,0,0,133.2,14,0
type3,1434,634,0,0,2,41,324,0,5,9,0,83,0,0,55.5,1079,0
type2,4353,200,0,0,2,2,10,0,0,0,0,29,0,0,61.9,408,0
type1,4086,200,0,0,0,2,7,0,0,271,0,8,0,0,111,1515,1
type3,1907,375,0,0,1,1,53,0,1,0,1,245,0,0,156.1,53,0
type2,4105,200,0,0,0,3,6,0,0,0,0,11,0,0,63.2,129,0
type1,1677,200,0,0,3,53,41,0,1,39,0,27,0,0,102.7,1282,0
type3,2416,200,0,0,14,4,1621,0,22,7,3,903,0,0,59.5,988,0
type4,2405,200,0,0,0,61,14,0,0,38,0,8,0,0,81.4,1142,1
type1,3194,200,0,0,3,62,129,0,2,246,1,23,0,0,133.3,1561,0
type1,1725,550,0,2,2,4,24,0,2,42,0,22,0,0,86.5,1070,0
type3,2864,587,0,0,0,0,61,0,1,130,0,66,0,0,176.5,45,0
type2,1350,550,0,0,0,3,5,0,0,0,0,5,0,0,50.9,541,0
type1,1754,200,0,0,2,3,33,0,0,0,0,17,0,0,86.7,1114,0
type2,1000,200,0,0,1,11,23,0,0,0,0,18,0,0,56.9,420,0
type2,1508,200,0,0,0,11,2,0,0,0,0,4,0,0,45.3,672,0
type4,12735,200,0,0,0,0,9,0,0,0,0,18,0,0,78.8,1007,0
type3,3641,200,0,0,1,0,99,0,1,0,0,243,0,0,122.8,57,0
type3,2031,1231,0,0,0,36,39,0,0,0,0,44,0,0,109.3,1056,0
type3,1316,516,0,0,5,0,170,0,2,0,0,919,0,0,128.9,30,0
type3,1343,200,0,0,2,2,57,0,1,4,0,1118,0,0,148,31,0
type3,2402,550,1,1,17,74,1006,0,12,3,5,3440,4,0,144.2,60,0
type3,4164,200,0,0,6,2,670,0.2,6,0,5,3385,3,0,181.8,15,0
type4,2400,200,0,0,0,577,19,0,1,181,0,13,0,0,79.4,1242,0
type3,3135,200,0,0,1,0,68,0,0,0,0,151,0,0,132.1,13,0
type3,3821,200,0,0,0,0,22,0,0,0,0,24,0,0,150.8,35,0
type2,2912,200,0,0,0,49,12,0,0,0,0,11,0,0,46.6,627,0
type4,1647,200,0,0,0,6,27,0,4,0,0,18,0,0,57.4,1066,0
type3,7149,398,0,0,6,2,396,0,4,0,0,2399,7,0,124.7,26,0
type1,3450,200,0,0,2,15,23,0,3,4,0,10,0,0,85.1,1053,0
type3,6017,1600,0,0,0,4,12,0,0,0,0,47,0,0,132.5,8,0
type1,8807,657,0,0,0,5,28,0,0,0,0,18,0,0,85.5,1161,0
type1,2872,200,0,0,1,2,15,0,0,1,0,4,0,0,94.5,1105,0
type3,3043,200,0,0,7,3,2079,0.3,15,18,1,88,0,0,146.6,24,0
type3,2765,550,0,0,0,22,74,0,0,0,0,58,0,0,63.2,1140,0
type2,4988,200,0,0,0,0,5,0,0,0,0,10,0,0,67.9,482,0
type3,1653,200,0,0,3,8,220,0,5,10,0,195,0,0,70.2,1477,0
type3,1704,200,0,0,1,6,76,0,0,0,0,57,0,0,125.8,12,0
type3,2883,200,0,0,3,0,233,0,3,0,0,342,2,0,150.3,21,0
type3,4542,550,0,0,10,48,468,0,8,1,2,173,0,0,140.5,44,1
type3,1728,403,0,0,0,0,77,0,0,0,0,438,0,0,131.5,29,0
type3,9986,200,0,0,1,0,6,0,0,2,0,20,0,0,144.7,31,0
type3,2108,200,0,0,0,0,64,0,0,2,0,305,0,0,148,45,0
type3,2862,400,0,0,16,6,1645,0,15,2,6,1686,5,0,325.3,19,0
type3,1374,375,0,0,2,1,227,0,3,0,1,10948,1,0,126.9,10,0
type3,5474,200,0,0,0,16,17,0,4,0,0,22,0,0,68.9,1320,0
type1,4817,200,0,0,2,5,50,0,1,6,1,19,0,0,86.5,1609,0
type2,5743,393,0,0,0,5,1,0,0,0,0,24,0,0,45,622,0
type3,3468,200,0,0,2,7,194,0,1,0,0,45,0,0,123.6,15,0
type3,2052,200,0,0,11,1,456,0,4,0,2,379,1,0,132.8,23,0
type3,1664,548,0,0,1,41,94,0,1,0,1,126,0,0,128.6,24,0
type1,1730,200,0,0,0,5,43,0,0,36,0,22,0,0,90.3,1166,0
type1,2320,200,0,0,1,8,53,0,1,56,0,9,0,0,99.5,1135,0
type3,3090,200,0,0,0,0,71,0,0,0,0,626,0,0,150.1,10,0
type3,1737,200,0,0,0,26,123,0,1,15,0,1392,0,0,137.3,17,0
type3,3270,200,0,0,1,4,82,0,1,5,1,57,0,0,145.2,74,0
type3,5204,200,0,0,3,0,192,0,3,2,0,642,3,0,124.4,28,0
type3,1677,200,0,0,0,1,47,0,0,1,0,38,0,0,133.2,19,0
type3,2619,582,0,0,0,4,19,0,0,0,0,27,0,0,144.4,567,0
type3,5212,1031,0,0,2,32,105,0,2,0,1,94,0,0,127.7,28,0
type3,1726,200,0,0,2,0,145,0,3,0,0,2551,0,0,169.9,148,0
type2,2612,200,0,0,0,144,1,0,0,0,0,14,0,0,44.4,713,0
type3,1394,200,0,0,5,2,807,0,5,9,0,2380,5,0,124.7,88,0
type3,4531,533,0,0,0,15,26,0,0,0,0,30,0,0,112.9,1470,0
type4,1899,200,0,0,0,6,46,0,0,0,0,18,0,0,37.6,21,0
