iter	Passed	Remaining
408	4560	6590
409	4569	6576
410	4578	6561
411	4587	6547
412	4596	6533
413	4605	6518
414	4614	6504
415	4623	6490
416	4631	6474
417	4639	6460
418	4648	6445
419	4657	6431
420	4665	6416
421	4674	6402
422	4682	6387
423	4691	6373
424	4700	6359
425	4709	6346
426	4718	6332
427	4728	6318
428	4738	6306
429	4747	6293
430	4757	6280
431	4767	6267
432	4776	6254
433	4786	6242
434	4796	6230
435	4806	6217
436	4816	6204
437	4825	6191
438	4835	6179
439	4844	6165
440	4854	6153
441	4864	6141
442	4874	6128
443	4883	6115
444	4893	6102
445	4902	6090
446	4912	6077
447	4923	6065
448	4932	6052
449	4942	6040
450	4951	6027
451	4961	6015
452	4970	6002
453	4980	5990
454	4990	5977
455	4999	5964
456	5009	5952
457	5019	5939
458	5029	5927
459	5038	5914
460	5047	5901
461	5058	5890
462	5067	5877
463	5077	5865
464	5087	5853
465	5096	5840
466	5106	5828
467	5116	5815
468	5125	5803
469	5134	5790
470	5144	5778
471	5154	5766
472	5164	5753
473	5173	5741
474	5183	5728
475	5192	5716
476	5201	5703
477	5210	5690
478	5220	5677
479	5228	5663
480	5237	5651
481	5246	5638
482	5255	5625
483	5264	5612
484	5272	5599
485	5281	5585
486	5291	5573
487	5299	5560
488	5309	5548
489	5318	5536
490	5328	5523
491	5338	5512
492	5348	5500
493	5359	5489
494	5370	5478
495	5379	5466
496	5389	5454
497	5400	5444
498	5410	5432
499	5419	5419
500	5429	5408
501	5438	5395
502	5449	5384
503	5459	5372
504	5468	5360
505	5477	5347
506	5487	5335
507	5498	5324
508	5508	5313
509	5518	5302
510	5527	5289
511	5537	5277
512	5546	5265
513	5556	5253
514	5565	5241
515	5573	5228
516	5583	5216
517	5593	5204
518	5601	5191
519	5611	5179
520	5620	5167
521	5629	5155
522	5638	5142
523	5648	5131
524	5657	5118
525	5666	5106
526	5675	5094
527	5684	5081
528	5693	5069
529	5703	5057
530	5712	5045
531	5721	5032
532	5730	5020
533	5740	5009
534	5749	4997
535	5759	4985
536	5767	4973
537	5777	4961
538	5786	4948
539	5795	4936
540	5804	4924
541	5813	4912
542	5823	4900
543	5831	4888
544	5841	4876
545	5850	4864
546	5859	4852
547	5868	4840
548	5877	4828
549	5886	4816
550	5895	4804
551	5904	4792
552	5913	4779
553	5922	4767
554	5930	4755
555	5939	4743
556	5948	4730
557	5957	4719
558	5966	4706
559	5975	4694
560	5984	4682
561	5993	4670
562	6002	4658
563	6010	4646
564	6019	4634
565	6028	4622
566	6037	4610
567	6046	4598
568	6056	4587
569	6065	4575
570	6074	4563
571	6084	4552
572	6093	4540
573	6102	4529
574	6111	4516
575	6120	4505
576	6128	4492
577	6137	4481
578	6146	4469
579	6155	4457
580	6164	4446
581	6174	4434
582	6183	4422
583	6192	4410
584	6201	4399
585	6209	4387
586	6219	4375
587	6227	4363
588	6237	4352
589	6245	4340
590	6254	4328
591	6263	4316
592	6271	4304
593	6281	4293
594	6289	4281
595	6298	4269
596	6307	4257
597	6316	4246
598	6325	4234
599	6334	4223
600	6342	4211
601	6352	4199
602	6360	4187
603	6369	4176
604	6378	4164
605	6387	4152
606	6396	4141
607	6405	4130
608	6415	4118
609	6423	4107
610	6433	4095
611	6441	4084
612	6451	4072
613	6460	4061
614	6468	4049
615	6477	4037
616	6486	4026
617	6495	4015
618	6504	4003
619	6514	3992
620	6522	3980
621	6532	3970
622	6541	3958
623	6551	3947
624	6559	3935
625	6568	3924
626	6577	3912
627	6586	3901
628	6594	3889
629	6603	3878
630	6612	3866
631	6620	3855
632	6630	3844
633	6639	3832
634	6648	3821
635	6658	3810
636	6666	3798
637	6675	3787
638	6684	3776
639	6693	3765
640	6702	3753
641	6711	3742
642	6719	3730
643	6729	3720
644	6738	3708
645	6746	3697
646	6755	3685
647	6764	3674
648	6773	3663
649	6782	3652
650	6791	3640
651	6800	3629
652	6809	3618
653	6818	3607
654	6827	3596
655	6836	3585
656	6845	3573
657	6854	3562
658	6862	3551
659	6872	3540
660	6880	3528
661	6889	3517
662	6898	3506
663	6908	3495
664	6916	3484
665	6925	3473
666	6934	3461
667	6944	3451
668	6953	3440
669	6963	3429
670	6972	3418
671	6980	3407
672	6990	3396
673	6999	3385
674	7008	3374
675	7017	3363
676	7025	3351
677	7035	3341
678	7043	3329
679	7052	3318
680	7060	3307
681	7070	3296
682	7078	3285
683	7088	3274
684	7096	3263
685	7105	3252
686	7114	3241
687	7124	3230
688	7133	3219
689	7141	3208
690	7150	3197
691	7159	3186
692	7168	3175
693	7178	3164
694	7186	3153
695	7195	3143
696	7204	3131
697	7213	3120
698	7222	3110
699	7230	3098
700	7240	3088
701	7249	3077
702	7258	3066
703	7267	3055
704	7276	3044
705	7285	3033
706	7294	3023
707	7303	3012
708	7313	3001
709	7322	2990
710	7330	2979
711	7339	2968
712	7348	2957
713	7356	2946
714	7365	2936
715	7374	2924
716	7383	2914
717	7392	2903
718	7400	2892
719	7410	2881
720	7419	2870
721	7428	2860
722	7437	2849
723	7446	2838
724	7455	2827
725	7464	2817
726	7473	2806
727	7482	2795
728	7491	2784
729	7499	2773
730	7508	2763
731	7516	2752
732	7526	2741
733	7534	2730
734	7544	2719
735	7552	2709
736	7561	2698
737	7569	2687
738	7580	2677
739	7589	2666
740	7599	2656
741	7609	2645
742	7619	2635
743	7629	2625
744	7638	2614
745	7648	2604
746	7658	2593
747	7667	2583
748	7678	2573
749	7688	2562
750	7697	2552
751	7707	2541
752	7717	2531
753	7727	2521
754	7736	2510
755	7747	2500
756	7756	2489
757	7766	2479
758	7775	2469
759	7785	2458
760	7796	2448
761	7806	2438
762	7815	2427
763	7825	2417
764	7835	2406
765	7845	2396
766	7854	2385
767	7863	2375
768	7873	2365
769	7883	2354
770	7894	2344
771	7903	2334
772	7913	2323
773	7922	2313
774	7932	2302
775	7942	2292
776	7951	2282
777	7961	2271
778	7970	2261
779	7980	2251
780	7991	2240
781	8001	2230
782	8010	2220
783	8020	2209
784	8029	2199
785	8040	2189
786	8050	2178
787	8059	2168
788	8068	2157
789	8079	2147
790	8088	2137
791	8098	2126
792	8108	2116
793	8118	2106
794	8127	2095
795	8139	2086
796	8149	2075
797	8158	2065
798	8167	2054
799	8176	2044
800	8186	2033
801	8195	2023
802	8204	2012
803	8213	2002
804	8223	1991
805	8232	1981
806	8242	1971
807	8252	1960
808	8262	1950
809	8273	1940
810	8282	1930
811	8291	1919
812	8300	1909
813	8310	1898
814	8320	1888
815	8330	1878
816	8340	1868
817	8349	1857
818	8357	1847
819	8368	1836
820	8377	1826
821	8387	1816
822	8396	1805
823	8406	1795
824	8415	1785
825	8425	1774
826	8435	1764
827	8444	1754
828	8453	1743
829	8463	1733
830	8472	1723
831	8481	1712
832	8491	1702
833	8501	1692
834	8510	1681
835	8518	1671
836	8527	1660
837	8536	1650
838	8546	1640
839	8556	1629
840	8565	1619
841	8575	1609
842	8584	1598
843	8593	1588
844	8602	1577
845	8612	1567
846	8621	1557
847	8630	1546
848	8640	1536
849	8649	1526
850	8658	1516
851	8668	1505
852	8678	1495
853	8688	1485
854	8698	1475
855	8707	1464
856	8716	1454
857	8725	1444
858	8735	1433
859	8743	1423
860	8753	1413
861	8762	1402
862	8771	1392
863	8781	1382
864	8790	1371
865	8799	1361
866	8808	1351
867	8821	1341
868	8833	1331
869	8844	1321
870	8856	1311
871	8868	1301
872	8880	1291
873	8891	1281
874	8903	1271
875	8914	1261
876	8926	1251
877	8937	1241
878	8949	1231
879	8960	1221
880	8971	1211
881	8984	1201
882	8996	1192
883	9008	1182
884	9019	1172
885	9031	1162
886	9043	1152
887	9055	1142
888	9067	1132
889	9079	1122
890	9090	1112
891	9101	1102
892	9114	1092
893	9126	1082
894	9137	1072
895	9150	1062
896	9162	1052
897	9173	1041
898	9185	1031
899	9198	1022
900	9210	1011
901	9221	1001
902	9233	991
903	9246	981
904	9258	971
905	9270	961
906	9283	951
907	9296	941
908	9308	931
909	9319	921
910	9332	911
911	9344	901
912	9356	891
913	9368	881
914	9382	871
915	9395	861
916	9407	851
917	9419	841
918	9431	831
919	9442	821
920	9454	810
921	9466	800
922	9477	790
923	9489	780
924	9501	770
925	9513	760
926	9525	750
927	9537	739
928	9548	729
929	9560	719
930	9572	709
931	9583	699
932	9595	689
933	9606	678
934	9618	668
935	9629	658
936	9641	648
937	9653	638
938	9664	627
939	9676	617
940	9687	607
941	9698	597
942	9710	586
943	9722	576
944	9733	566
945	9745	556
946	9757	546
947	9770	535
948	9782	525
949	9794	515
950	9806	505
951	9817	495
952	9826	484
953	9836	474
954	9844	463
955	9853	453
956	9868	443
957	9884	433
958	9897	423
959	9908	412
960	9918	402
961	9927	392
962	9936	381
963	9946	371
964	9955	361
965	9963	350
966	9972	340
967	9981	329
968	9990	319
969	9999	309
970	10008	298
971	10017	288
972	10026	278
973	10036	267
974	10045	257
975	10054	247
976	10062	236
977	10072	226
978	10081	216
979	10090	205
980	10099	195
981	10109	185
982	10117	174
983	10127	164
984	10136	154
985	10145	144
986	10155	133
987	10165	123
988	10175	113
989	10185	102
990	10195	92
991	10205	82
992	10214	72
993	10224	61
994	10233	51
995	10242	41
996	10251	30
997	10261	20
998	10270	10
999	10280	0
