iter	Logloss
0	0.6907979024
1	0.6882494093
2	0.6858523424
3	0.6834169124
4	0.681273255
5	0.6792543677
6	0.6772546279
7	0.6750696011
8	0.6732468504
9	0.6716610689
10	0.6699395021
11	0.6680562455
12	0.6664533095
13	0.6647619757
14	0.6631246261
15	0.6618211837
16	0.6603789077
17	0.6591214832
18	0.6577635423
19	0.6564765498
20	0.6552322726
21	0.6539800397
22	0.6527162698
23	0.6515333504
24	0.6506338448
25	0.6494904496
26	0.6484452052
27	0.6473454363
28	0.6463342349
29	0.6453747783
30	0.6442476935
31	0.6432528613
32	0.6420289911
33	0.6412590055
34	0.6402352958
35	0.6393730057
36	0.6384821669
37	0.6377472973
38	0.6370736995
39	0.6360816567
40	0.6351835255
41	0.6341063654
42	0.6332295715
43	0.632327225
44	0.6311392239
45	0.6306353883
46	0.6297031336
47	0.6290365129
48	0.6280523773
49	0.6273361438
50	0.6264645195
51	0.6259118296
52	0.6250663831
53	0.6242862309
54	0.6235904078
55	0.6228811337
56	0.6221782504
57	0.6214906165
58	0.620756713
59	0.6200232334
60	0.6193917448
61	0.6186276854
62	0.6181382239
63	0.6174611692
64	0.6165838615
65	0.6160650356
66	0.6154860181
67	0.6149891453
68	0.614272972
69	0.6136924699
70	0.6128317597
71	0.6120879088
72	0.6115050903
73	0.6109095278
74	0.6106201773
75	0.6098786865
76	0.609101765
77	0.6085651758
78	0.6079005461
79	0.6075447505
80	0.6068948884
81	0.6063742481
82	0.6057302402
83	0.605064776
84	0.6044361667
85	0.6038290183
86	0.6033675575
87	0.6029306678
88	0.6021027624
89	0.6016830558
90	0.6012037463
91	0.600576819
92	0.6000777088
93	0.5994838069
94	0.5988680422
95	0.5984064751
96	0.5978753922
97	0.5971209617
98	0.5966888612
99	0.5962235899
100	0.595831146
101	0.5953493709
102	0.5946666466
103	0.5942700849
104	0.5936607229
105	0.5932429109
106	0.5927333442
107	0.5920782992
108	0.59159354
109	0.590857039
110	0.5902452993
111	0.589721294
112	0.5893307721
113	0.588945158
114	0.5886037134
115	0.5881263203
116	0.5876949334
117	0.5870333127
118	0.5864117528
119	0.5859317876
120	0.5854526352
121	0.5851463863
122	0.5846783467
123	0.5843516024
124	0.5840779404
125	0.5836445578
126	0.5831271393
127	0.5828251376
128	0.5824051679
129	0.5818071605
130	0.5812808778
131	0.5804730986
132	0.5799409269
133	0.5796953361
134	0.5792963565
135	0.5789214984
136	0.5785843227
137	0.5780833932
138	0.5776981226
139	0.5771109886
140	0.5768138531
141	0.5762431206
142	0.57580845
143	0.5753310254
144	0.5750857635
145	0.5745656873
146	0.574273394
147	0.573977474
148	0.573666164
149	0.5733439974
150	0.5728545733
151	0.5724191875
152	0.5721096927
153	0.5717937618
154	0.5713747478
155	0.5708687397
156	0.5704900435
157	0.5700595861
158	0.569578577
159	0.5688004069
160	0.5682827589
161	0.5678075492
162	0.5673867601
163	0.5671283966
164	0.5665914719
165	0.5663326395
166	0.5658614499
167	0.5654750652
168	0.5649979276
169	0.5645952148
170	0.5641898636
171	0.5637133739
172	0.563231552
173	0.5627918137
174	0.5623354675
175	0.5619372486
176	0.5614020987
177	0.5609796947
178	0.5604350883
179	0.55991437
180	0.5595631983
181	0.5591628967
182	0.5586972835
183	0.5582616512
184	0.5578679819
185	0.5575018103
186	0.5570717083
187	0.5566805512
188	0.5564419253
189	0.5559954081
190	0.5556155297
191	0.5552316601
192	0.554821286
193	0.5544914221
194	0.553871015
195	0.5535228154
196	0.5532609095
197	0.5527285937
198	0.5524100149
199	0.551986771
200	0.5516242133
201	0.5511533278
202	0.5506790192
203	0.5502688325
204	0.54980742
205	0.5495815019
206	0.5492047596
207	0.5488615885
208	0.5484634309
209	0.5480319538
210	0.5476828463
211	0.547276842
212	0.5470131629
213	0.5467329204
214	0.5463826856
215	0.5460620602
216	0.5458274609
217	0.5455461221
218	0.5450444033
219	0.5447201187
220	0.5445084708
221	0.5442197444
222	0.5439464856
223	0.5436773243
224	0.5434610051
225	0.5431142083
226	0.5426945165
227	0.5423202667
228	0.5419335899
229	0.5416201463
230	0.5411525039
231	0.5408142168
232	0.5403840613
233	0.5401027347
234	0.5398438051
235	0.5395461668
236	0.5390918343
237	0.5387884523
238	0.5382702509
239	0.5378710159
240	0.5374052881
241	0.5370490995
242	0.5366993639
243	0.5364171151
244	0.5360224944
245	0.5354417369
246	0.5351677805
247	0.5349386509
248	0.5346280808
249	0.5341358691
250	0.5337080493
251	0.5333415543
252	0.5330410345
253	0.532591997
254	0.5321491427
255	0.5317421716
256	0.531407249
257	0.5308912988
258	0.5306270255
259	0.5301182673
260	0.5299596628
261	0.5297113881
